dataset,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,daily_seasonality,rmse,mae,r2,mse
trace1.csv,0.01,0.1,multiplicative,True,22.50726472346276,16.724172592163086,-0.007723450660705566,506.57696533203125
trace5.csv,0.05,0.1,multiplicative,True,57.54051095003089,47.53606414794922,-0.09105885028839111,3310.910400390625
trace10.csv,0.5,1.0,multiplicative,True,125.9981592437465,98.89136505126953,0.46273136138916016,15875.5361328125
trace15.csv,0.001,10.0,additive,True,165.34843654764325,128.88258361816406,0.7309350967407227,27340.10546875
trace25.csv,0.001,1.0,additive,True,180.22646344252556,133.6004638671875,0.9212514162063599,32481.578125
trace20.csv,0.001,0.1,additive,True,199.1306005960661,155.24310302734375,0.8324259519577026,39652.99609375
trace30.csv,0.001,1.0,additive,True,248.7325449277798,188.53123474121094,0.8850774765014648,61867.87890625
trace35.csv,0.001,0.01,additive,True,261.5494844431929,205.6772003173828,0.9083526134490967,68408.1328125
trace40.csv,0.001,0.1,additive,True,326.22374175939433,270.6019592285156,0.8854510188102722,106421.9296875
trace45.csv,0.01,1.0,additive,True,369.31192354837395,294.4301452636719,0.8777833580970764,136391.296875
trace50.csv,0.01,10.0,additive,True,394.72862513377464,332.8315734863281,0.8923531174659729,155810.6875
trace55.csv,0.01,1.0,additive,True,426.7352992488435,327.8477783203125,0.8970859050750732,182103.015625
trace60.csv,0.01,1.0,additive,True,456.02523573262914,366.4483947753906,0.8988440036773682,207959.015625
